Collection,Topic,State,Title,Publisher,Date,Format,Link,What it covers,Verified quotes,Who should read it,Limitations,Verified on
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,United States Data Center Energy Usage Report: 2025 Update,"Lawrence Berkeley National Laboratory, sponsored by U.S. Department of Energy (record hosted by DOE Office of Scientific and Technical Information, OSTI)",18 June 2026 (Technical Report date on OSTI record),Report,https://www.osti.gov/biblio/3374245,"This is the newest edition of the congressionally requested national estimate of data center electricity use. The OSTI abstract says it updates the 2024 report, extends the projection horizon to 2030, and gives a central estimate plus a scenario range. The record lists LBNL authors (Smith, Hubbard, Newkirk, Ganeshalingam, Holecek, Sartor, Mills, Shehabi), report number LBNL-2001758 and DOI 10.71468/P1RP4F. DOE's data center hub adds that the update uses new sensitivity scenarios and a model built on projected shipments of data center equipment.","""This report updates the 2024 Data Center Energy Usage Report (2024 Report) and estimates that data centers could account for 11.8% of total U.S. electricity by 2030."" | ""The estimate also includes a range of scenarios that indicate the energy use could be between 9.5 and 15.3% of total U.S. electricity use by 2030."" | ""In comparison, the 2024 Report estimate range was 6.7% to 12.0% of total U.S. electricity by 2028.""","Planning staff, council and commission members, economic development staff, utility regulators, anyone citing a national data center electricity number","DOE's hub page describing this update states: ""The estimates are based on an energy-use modeling framework based on projected shipments of data center equipment, and do not directly address potential growth in grid or on-site energy supply.""",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,2024 United States Data Center Energy Usage Report,"Lawrence Berkeley National Laboratory (Energy Technologies Area), for the U.S. Department of Energy",12/19/2024 (Date Published on LBNL page),Report,https://eta.lbl.gov/publications/2024-lbnl-data-center-energy-usage-report,"The LBNL publication page says the report meets the Energy Act of 2020 request that DOE update LBNL's 2016 national data center energy study. It estimates historical U.S. data center electricity use back to 2014 from prior studies and equipment shipment data, and gives a scenario range of demand to 2028. Authors include Arman Shehabi, Sarah Josephine Smith, Jonathan Koomey, Eric Masanet and Dale Sartor; DOI 10.71468/P1WC7Q. The Berkeley Lab News Center summary (Jan.","""Data centers consumed about 4.4% of total U.S. electricity in 2023 and, depending upon how much the rest of the economy grows, are expected to consume between 6.7 and 12% of total U.S. electricity by 2028."" | ""The total data center electricity usage climbed from 58 TWh in 2014 to 176 TWh in 2023 and is estimated to increase between 325 to 580 TWh by 2028."" | ""Between 2017 and 2023, data-center power demand more than doubled, largely due to the growth in AI servers."" | ""This report also provides a scenario range of future demand out to 2028 based on new trends and the most recent available data.""","Planning staff, council members, utility regulators, economic development staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,DOE Releases New Report Evaluating Increase in Electricity Demand from Data Centers,U.S. Department of Energy,"December 20, 2024",Web page,https://www.energy.gov/articles/doe-releases-new-report-evaluating-increase-electricity-demand-data-centers,"DOE's announcement of the 2024 LBNL report restates its headline numbers for 2014, 2023 and 2028. It then lists DOE's strategies for meeting data center demand, starting with data center flexibility through onsite generation and storage. It frames data center growth alongside manufacturing and electrification as drivers of rising U.S. demand.","""The report estimates that data center load growth has tripled over the past decade and is projected to double or triple by 2028."" | ""The report finds that data centers consumed about 4.4% of total U.S. electricity in 2023 and are expected to consume approximately 6.7 to 12% of total U.S. electricity by 2028."" | ""Enabling data center flexibility through onsite power generation and storage solutions, including the Industrial Efficiency and Decarbonization Office’s Onsite Energy Program and new Industrial Energy Storage Systems""",Elected officials and communications staff who want DOE's plain-language summary,,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Powering America's AI Future: Data Center Resource Hub,U.S. Department of Energy,undated,Web page,https://www.energy.gov/powering-americas-ai-future-data-center-resource-hub,"DOE's central data center page, organized under Ensuring Affordable Energy, Building More Power, Strengthening Grid Reliability, Delivering Benefits to American Communities, Technological Innovation, and Data and Transparency. It lays out the Ratepayer Protection Pledge terms, DOE loans and nuclear actions, the SPARK transmission program, backup-generation use in emergencies, and technical assistance for state energy offices, public utility commissions and local stakeholders. It closes by summarizing the LBNL 2025 Update.","""Pay for all new required power delivery infrastructure upgrades"" | ""DOE provides technical assistance, planning support, and analytical resources to state energy offices, public utility commissions, and local stakeholders to help communities with large energy projects and plan for future growth."" | ""DOE is also working to leverage backup generation resources at data centers and other industrial sites to reduce blackout risks during emergencies.""","Council members, city managers, economic development staff, local utility liaisons",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Electricity Demand Growth Resource Hub,"U.S. Department of Energy, Office of Policy",undated,Web page,https://www.energy.gov/policy/electricity-demand-growth-resource-hub,"An Office of Policy page collecting DOE tools and studies on load growth, with sections titled Understanding Electricity Demand Growth and Available Solutions, DOE Programs, and DOE Strategy on Electricity Demand Growth. It points to technical assistance for states and utilities, a resource adequacy study, and DOE's report on clean energy resources to meet data center demand.","""Rising electricity demand is mainly driven by data center expansion and the rise of artificial intelligence (AI) applications, domestic manufacturing growth, and electrification of different sectors."" | ""Clean Energy Resources to Meet Data Center Electricity Demand provides additional context about data center load growth during the clean energy transition and lays out the broad portfolio of energy technologies and enabling solutions available today to meet rising demand.""",Planning and sustainability staff looking for DOE technical assistance programs,"The page states: ""This hub will be expanded and further developed over time as new research and resources become available.""",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Fossil generation could rise with faster-than-expected growth in data center power demand,"U.S. Energy Information Administration (Today in Energy, in-depth analysis)","March 12, 2026",Web page,https://www.eia.gov/todayinenergy/detail.php?id=67344,"Built on the February 2026 Short-Term Energy Outlook, this analysis models faster-than-expected electricity demand growth from data centers while holding generating capacity fixed. It reviews national demand growth since 2020 and regional forecasts for ERCOT, PJM, MISO and SPP. It then looks at the effects on generation mix and wholesale prices, and explains how grid operators manage new large-load interconnections.","""Between 2020 and 2025, U.S. electricity demand, as measured by net energy for load, grew about 1.7% annually compared with 0.1% annual growth between 2005 and 2019."" | ""We expect that the highest load growth will be in the ERCOT and PJM regions where forecast growth of annual electricity load averages 10% and 3%, respectively, between 2025 and 2027."" | ""The results indicate that most regions can accommodate higher-than-expected electricity demand growth, but the modeled price effects in ERCOT highlight some of the challenges grid operators have in managing large increases of load in the near term.""","Utility regulators, energy and sustainability staff, councils in ERCOT and PJM territory","""This analysis was completed in conjunction with the February Short-Term Energy Outlook (STEO). The results may differ slightly from the most recent forecasts published in the March STEO.""",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,EIA launches pilot survey on energy use at data centers,U.S. Energy Information Administration,"March 25, 2026",Web page,https://www.eia.gov/pressroom/releases/press585.php,"Announces EIA's voluntary pilot field studies of data center energy use: web surveys in Texas and Washington state and in-person interviews in Northern Virginia and Washington, DC. It lists the topics the questionnaire covers. This matters to local officials because official, facility-level federal data on data center energy use is still being built.","""EIA identified 196 companies operating data centers across Texas, Washington state, and the Northern Virginia-DC region."" | ""The questionnaire will cover energy sources, electricity consumption, site characteristics, server metrics, and cooling systems.""",Analysts and planning staff who need to know what official data exists and what is coming,The pilots are described as voluntary.,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Annual Energy Outlook 2026,U.S. Energy Information Administration,date not printed on the page,Web page,https://www.eia.gov/outlooks/aeo/,"EIA's long-term U.S. energy projections to 2050. The landing page gives section summaries including Electricity, which names data center server energy use as a major factor in electricity growth. Detailed tables and cases are reached from this page.","""After 15 years of nearly flat U.S. electricity consumption, demand has increased by 2.1% per year, on average, over the last five years."" | ""We project electricity consumption will continue growing through 2050 at a rate of 0.9% to 1.6%, with data center server energy use a major factor."" | ""Energy use in commercial buildings, home to data center activity, grows more rapidly than in the residential or industrial sectors in all modeled cases.""","Analysts, long-range planners, utility regulators","Per EIA, AEO2026 in most cases considers laws and regulations only as of December 2025.",18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,Interconnection of Large Loads to the Interstate Transmission System (Docket No. RM26-4-000),Federal Energy Regulatory Commission (FERC),"undated docket page (docket opened after the Secretary of Energy's October 23, 2025 direction)",Docket,https://www.ferc.gov/rm26-4,"FERC's public page for the large-load interconnection rulemaking that DOE initiated under section 403. It explains what an ANOPR is, lists who may be interested (including communities affected by data center development), and sets out the DOE principles FERC sought comment on: faster studies for flexible loads, who pays for grid upgrades, partial retirement of existing plants to serve co-located load, and transition rules. It explains how to file comments and how FERC's Office of Public Participation can help.","""Communities affected by data center or transmission development"" | ""Whether large loads and co-located facilities should pay the full cost of any grid upgrades needed for their interconnection, and whether those costs should be credited back over time, and if so, over what period."" | ""An ANOPR is an early step in the rulemaking process that allows FERC to gather input before deciding whether to propose specific regulatory changes."" | ""The Office of Public Participation (OPP) supports meaningful public engagement in FERC proceedings and can help you navigate FERC processes and filings.""","City attorneys, utility regulators, council members who want to file comments, community engagement staff",,18 September 2026
"Federal data, national labs and the grid","Federal government, national labs, grid reliability and energy data",,FERC Launches Aggressive Targeted Action to Speed Large Load Integration,Federal Energy Regulatory Commission (FERC),"June 18, 2026",Web page,https://www.ferc.gov/news-events/news/ferc-launches-aggressive-targeted-action-speed-large-load-integration,"FERC issued show cause orders under Federal Power Act section 206 to all six FERC-jurisdictional grid operators (PJM, MISO, SPP, CAISO, ISO-NE, NYISO) on large-load tariffs. The release lists five reform categories, including cost-shifting protections, co-location and behind-the-meter generation, and service for flexible loads. It sets 60-day and 30-day deadlines and places the action in context of the December 2025 PJM co-location order and SPP's High Impact Large Load initiative.","""Preventing cost shifting and requiring transparency into transmission costs"" | ""Under the orders, each RTO/ISO, and its transmission owners have 60 days to either justify why their current tariffs remain just and reasonable without provisions tailored to large loads, or to file tariff changes that address the issues the Commission identified."" | ""Additionally, within 30 days, each grid operator and its transmission owners must submit a detailed informational report describing how the grid operator intends to ensure that adequate generation will be available to serve existing and new large loads."" | ""Commission staff reviewed more than 3,500 pages of public comments submitted in the large load interconnection docket and engaged extensively with stakeholders and federal partners, in developing today's action.""","Utility regulators, city attorneys, council members in RTO/ISO regions, economic development staff",,18 September 2026
